epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,18136.5,0.40571,0.36749,0.95143,0.97617,1,0.995,0.94525,0.29343,0.29918,0.8637,0.000367967,0.000367967,0.000367967
77,18375.4,0.39791,0.35959,0.95802,0.97389,1,0.995,0.94525,0.28414,0.26649,0.85769,0.00035382,0.00035382,0.00035382
78,18613.4,0.38355,0.33664,0.94176,0.97661,1,0.995,0.94525,0.34708,0.29527,0.87648,0.000339673,0.000339673,0.000339673
79,18883.5,0.38844,0.34793,0.95099,0.97749,1,0.995,0.94525,0.34535,0.26544,0.87735,0.000325526,0.000325526,0.000325526
80,19143.8,0.40778,0.36743,0.95293,0.97447,1,0.995,0.94525,0.33797,0.25053,0.86047,0.000311379,0.000311379,0.000311379
81,19386.7,0.40617,0.37011,0.96173,0.98281,1,0.995,0.94525,0.28772,0.24926,0.84867,0.000297232,0.000297232,0.000297232
82,19641.5,0.39147,0.36671,0.94555,0.97527,1,0.995,0.94525,0.31557,0.29101,0.85745,0.000283085,0.000283085,0.000283085
83,19901.2,0.42098,0.4014,0.96289,0.97399,1,0.995,0.96018,0.30314,0.28626,0.85909,0.000268938,0.000268938,0.000268938
84,20162.3,0.36855,0.33743,0.93717,0.97662,1,0.995,0.90775,0.3129,0.40729,0.87838,0.000254791,0.000254791,0.000254791
85,20422.3,0.37343,0.3472,0.9315,0.97501,1,0.995,0.9228,0.35353,0.43989,0.88683,0.000240644,0.000240644,0.000240644
86,20674.9,0.36384,0.32787,0.9401,0.97522,1,0.995,0.96188,0.34154,0.36152,0.86622,0.000226497,0.000226497,0.000226497
87,20934.5,0.38497,0.36149,0.95263,0.97471,1,0.995,0.995,0.28001,0.26118,0.84722,0.000212349,0.000212349,0.000212349
88,21200.9,0.39559,0.33663,0.96098,0.97413,1,0.995,0.995,0.25927,0.27018,0.84325,0.000198202,0.000198202,0.000198202
89,21475.3,0.34843,0.31518,0.93608,0.98492,1,0.995,0.995,0.28013,0.30892,0.84624,0.000184055,0.000184055,0.000184055
90,21730.6,0.35916,0.33096,0.93373,0.98734,1,0.995,0.97637,0.28784,0.3003,0.84637,0.000169908,0.000169908,0.000169908
91,21962.4,0.26547,0.33847,0.87238,0.98539,1,0.995,0.94525,0.27352,0.30426,0.84591,0.000155761,0.000155761,0.000155761
92,22199.8,0.246,0.30939,0.815,0.97218,1,0.995,0.95922,0.27589,0.34575,0.8517,0.000141614,0.000141614,0.000141614
93,22430.3,0.23876,0.35506,0.81837,0.97409,1,0.995,0.94525,0.29435,0.32899,0.85678,0.000127467,0.000127467,0.000127467
94,22667.4,0.26557,0.31691,0.84579,0.9779,1,0.995,0.995,0.25303,0.26049,0.84489,0.00011332,0.00011332,0.00011332
95,22909.1,0.25048,0.30709,0.86586,0.97932,1,0.995,0.995,0.23856,0.27757,0.84118,9.91726e-05,9.91726e-05,9.91726e-05
96,23154.6,0.24889,0.29959,0.83118,0.97846,1,0.995,0.995,0.2314,0.28668,0.84469,8.50255e-05,8.50255e-05,8.50255e-05
97,23385.8,0.24629,0.30754,0.86916,0.97838,1,0.995,0.95945,0.23874,0.28887,0.84459,7.08784e-05,7.08784e-05,7.08784e-05
98,23637.4,0.21908,0.28333,0.82278,0.97846,1,0.995,0.995,0.22727,0.28371,0.84281,5.67313e-05,5.67313e-05,5.67313e-05
99,23897.9,0.22741,0.27951,0.845,0.9783,1,0.995,0.995,0.21239,0.26201,0.83946,4.25842e-05,4.25842e-05,4.25842e-05
100,24126.9,0.25034,0.3008,0.8629,0.97842,1,0.995,0.995,0.20453,0.25971,0.83758,2.84371e-05,2.84371e-05,2.84371e-05
